price,brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize
34390,merc, CLS Class,2018,Automatic,16568,Diesel,145,48.7,2.9
27500,ford, Mustang,2017,Manual,20700,Petrol,150,20.9,5
27498,vw, Arteon,2019,Manual,40,Diesel,150,52.3,2
22490,merc, CLS Class,2017,Semi-Auto,31479,Diesel,145,57.7,2.1
5475,hyundi, IX35,2011,Manual,79000,Petrol,205,41.5,1.6
18995,vw, Amarok,2015,Manual,43935,Diesel,260,35.3,2
12998,toyota, Avensis,2018,Automatic,35507,Petrol,145,44.1,1.8
12298,ford, Grand Tourneo Connect,2017,Manual,17442,Diesel,30,64.2,1.5
20995,ford, Galaxy,2016,Semi-Auto,20486,Diesel,145,52.3,2
18690,toyota, Prius,2016,Automatic,23300,Hybrid,0,85.6,1.8
6790,vauxhall, Antara,2014,Manual,27495,Diesel,235,44.1,2.2
15999,skoda, Scala,2019,Other,3500,Petrol,145,47.1,1
5990,merc, M Class,2008,Automatic,110000,Diesel,555,28.8,3
20000,ford, Puma,2019,Manual,1085,Petrol,145,51.4,1
20950,ford, Tourneo Connect,2020,Automatic,409,Diesel,145,44.1,1.5
7795,vw, Beetle,2015,Manual,55239,Petrol,145,47.9,1.2
22000,bmw, X4,2017,Automatic,58056,Diesel,145,54.3,2
6775,merc, SLK,2008,Automatic,65000,Petrol,290,34.4,1.8
9995,vw, CC,2015,Semi-Auto,54231,Diesel,150,53.3,2
19999,ford, Edge,2016,Automatic,24641,Diesel,160,48.7,2
49980,bmw, M4,2020,Semi-Auto,1000,Petrol,145,34,3
15998,toyota, GT86,2017,Manual,26919,Petrol,260,36.2,2
25998,merc, GL Class,2013,Automatic,60462,Diesel,325,35.3,3
18390,bmw, X4,2015,Manual,53197,Diesel,160,52.3,2
24945,merc, X-CLASS,2019,Automatic,500,Diesel,260,35.8,2.3
20500,bmw, X4,2016,Automatic,42576,Diesel,200,47.9,3
14998,hyundi, I800,2016,Automatic,17110,Diesel,325,33.6,2.5
57870,bmw, i8,2018,Automatic,11278,Hybrid,135,134.5,1.5
46980,merc, S Class,2019,Semi-Auto,7659,Diesel,145,52.3,3
9498,vw, Caddy Maxi Life,2014,Manual,56716,Diesel,200,48.7,1.6
13965,toyota, Verso,2018,Manual,7074,Diesel,145,62.8,1.6
27890,ford, Mustang,2017,Semi-Auto,26452,Petrol,580,23.5,5
6795,hyundi, IX20,2015,Manual,29000,Petrol,125,50.4,1.4
13400,skoda, Yeti,2017,Semi-Auto,15000,Petrol,125,51.4,1.2
24295,vw, Caddy Maxi Life,2019,Semi-Auto,1374,Diesel,145,46.3,2
22290,vw, Arteon,2017,Semi-Auto,6502,Petrol,145,47.1,2
16000,vauxhall, Combo Life,2019,Manual,805,Petrol,145,42.2,1.2
17200,merc, CLA Class,2017,Automatic,10626,Petrol,145,53.3,1.6
12000,vw, Scirocco,2014,Manual,43198,Diesel,30,62.8,2
42489,ford, Mustang,2020,Automatic,3500,Petrol,145,22.1,5
7450,skoda, Rapid,2017,Manual,55115,Diesel,0,74.3,1.6
23795,vw, Arteon,2019,Semi-Auto,6183,Diesel,145,50.4,2
36790,merc, X-CLASS,2018,Automatic,9500,Diesel,260,31.4,3
19199,bmw, 6 Series,2015,Automatic,22797,Diesel,160,49.6,3
27000,merc, S Class,2015,Automatic,30782,Hybrid,20,64.2,2.1
17000,ford, Edge,2017,Manual,45386,Diesel,160,48.7,2
5995,vw, Scirocco,2011,Semi-Auto,120000,Diesel,125,57.6,2
15599,merc, GL Class,2015,Automatic,54965,Diesel,125,55.4,2.1
26000,vw, Amarok,2017,Automatic,22000,Diesel,260,36.2,3
30995,vw, Amarok,2018,Automatic,23371,Diesel,265,36.2,3
52888,audi, SQ7,2017,Automatic,12000,Diesel,145,39.2,4
20499,merc, M Class,2014,Automatic,37986,Diesel,300,39.2,3
9999,ford, Grand C-MAX,2016,Manual,28772,Diesel,30,64.2,1.5
4495,hyundi, Santa Fe,2009,Manual,95000,Diesel,305,38.7,2.2
10000,hyundi, IX20,2017,Manual,12245,Petrol,150,50.4,1.4
11500,toyota, Prius,2013,Automatic,33905,Hybrid,0,70.6,1.8
15979,vauxhall, Combo Life,2018,Manual,10070,Diesel,145,53.3,1.5
17100,bmw, i3,2016,Automatic,25269,Other,0,470.8,0.6
10275,toyota, Avensis,2016,Manual,40312,Diesel,200,46.3,1.6
15298,ford, Tourneo Custom,2016,Manual,62505,Diesel,200,46.3,2
51402,bmw, M4,2020,Semi-Auto,101,Petrol,145,34,3
69994,vw, California,2019,Semi-Auto,3544,Diesel,260,29.1,2
16459,hyundi, I800,2018,Manual,33610,Diesel,145,31.7,2.5
3595,vauxhall, Agila,2014,Manual,45400,Petrol,20,60.1,1
23995,merc, M Class,2015,Semi-Auto,30657,Diesel,200,39.2,2.1
22999,audi, A7,2017,Semi-Auto,24337,Diesel,150,55.4,3
18500,hyundi, I800,2019,Manual,14674,Diesel,145,31.7,2.5
19952,skoda, Scala,2020,Manual,1652,Petrol,145,47.9,1.5
8850,vauxhall, Zafira Tourer,2016,Manual,44500,Diesel,30,62.7,1.6
25000,ford, Mustang,2018,Manual,21632,Petrol,145,35.3,2.3
16250,merc, CLA Class,2015,Automatic,32895,Diesel,20,67.3,2.1
17958,ford, Galaxy,2017,Manual,36123,Diesel,125,56.5,2
16990,vauxhall, Combo Life,2019,Manual,7821,Diesel,145,53.3,1.5
14498,toyota, Prius,2013,Automatic,68057,Hybrid,0,68.9,1.8
37790,toyota, Land Cruiser,2017,Automatic,11356,Diesel,145,38.2,2.8
17898,bmw, 6 Series,2014,Semi-Auto,64215,Diesel,160,49.6,3
13490,ford, Grand Tourneo Connect,2016,Manual,13608,Diesel,30,64.2,1.5
16781,toyota, Verso,2017,Semi-Auto,19432,Petrol,150,43.5,1.8
33990,merc, CLS Class,2018,Semi-Auto,8123,Diesel,145,48.7,2.9
13300,vauxhall, Combo Life,2018,Manual,14066,Diesel,145,53.3,1.5
135124,merc, G Class,2018,Semi-Auto,18234,Petrol,150,21.4,4
33290,vw, Tiguan Allspace,2019,Semi-Auto,3500,Diesel,145,38.7,2
5995,ford, Grand C-MAX,2011,Automatic,90000,Diesel,200,48.7,2
33450,bmw, X6,2018,Automatic,35706,Diesel,145,47.1,3
24000,ford, Edge,2018,Semi-Auto,9412,Diesel,150,47.9,2
18500,merc, CLA Class,2016,Automatic,30106,Diesel,125,58.9,2.1
15495,toyota, Verso,2017,Semi-Auto,6800,Petrol,145,42.8,1.8
46000,bmw, M2,2020,Semi-Auto,1501,Petrol,145,29.1,3
17299,merc, GL Class,2015,Automatic,29520,Diesel,125,55.4,2.1
16799,merc, GL Class,2015,Automatic,40659,Diesel,125,56.5,2.1
13650,merc, SLK,2014,Semi-Auto,34170,Petrol,200,43.5,2
24500,bmw, X4,2017,Semi-Auto,22768,Diesel,145,54.3,2
19200,merc, CLS Class,2016,Automatic,33000,Diesel,145,56.5,2.1
20795,toyota, Prius,2017,Automatic,3881,Hybrid,135,235,1.8
12998,vw, Scirocco,2015,Manual,22442,Diesel,20,55.4,2
16299,merc, SLK,2016,Automatic,39820,Diesel,30,70.6,2.1
17495,skoda, Scala,2020,Manual,55,Petrol,145,49.6,1
76970,bmw, X7,2019,Semi-Auto,10,Diesel,145,31.4,3
24690,vw, Arteon,2019,Manual,3248,Diesel,145,52.3,2
19899,hyundi, Santa Fe,2017,Semi-Auto,37123,Diesel,150,42.8,2.2
11000,vw, Beetle,2015,Manual,26196,Petrol,205,42.8,1.4
30700,vw, Amarok,2019,Automatic,6822,Diesel,260,33.6,3
11795,skoda, Rapid,2018,Semi-Auto,13553,Petrol,145,58.9,1
19990,merc, V Class,2018,Manual,30577,Diesel,145,46.3,2.1
34399,audi, A8,2018,Automatic,11300,Diesel,145,50.4,3
15199,vw, Scirocco,2016,Manual,22687,Diesel,20,55.4,2
7280,vauxhall, GTC,2015,Manual,33217,Diesel,125,60.1,2
48000,audi, A8,2019,Automatic,5900,Diesel,145,50.4,3
21495,bmw, i3,2017,Automatic,24041,Hybrid,0,470.8,0
14075,vw, Scirocco,2017,Manual,44081,Petrol,145,47.1,2
19500,ford, Galaxy,2016,Automatic,24664,Diesel,150,52.3,2
47890,bmw, 7 Series,2019,Automatic,7414,Diesel,145,44.8,3
29399,vw, Tiguan Allspace,2020,Semi-Auto,2334,Petrol,145,35.8,1.5
11999,ford, Grand C-MAX,2018,Manual,21384,Petrol,145,54.3,1
7495,skoda, Rapid,2014,Semi-Auto,40468,Petrol,145,48.7,1.4
19750,merc, V Class,2018,Automatic,15232,Diesel,145,48.7,2.1
46795,vw, Caravelle,2019,Semi-Auto,6280,Diesel,145,33.6,2
27994,vw, Shuttle,2018,Semi-Auto,16203,Diesel,145,47.1,2
17999,ford, Galaxy,2017,Manual,35495,Diesel,125,56.5,2
17500,merc, M Class,2013,Automatic,84000,Diesel,205,44.8,2.1
11891,ford, Grand C-MAX,2017,Manual,11373,Petrol,30,54.3,1
14990,vauxhall, Combo Life,2019,Manual,7300,Petrol,145,42.2,1.2
17995,ford, Tourneo Custom,2017,Manual,33650,Diesel,235,44.1,2
32970,bmw, Z4,2019,Automatic,467,Petrol,145,38.7,2
53990,audi, RS5,2019,Automatic,2000,Petrol,145,30.1,2.9
9185,skoda, Rapid,2017,Manual,33599,Diesel,145,74.3,1.6
17900,ford, Edge,2016,Manual,27500,Diesel,160,48.7,2
12498,ford, Grand C-MAX,2017,Manual,25243,Diesel,30,64.2,1.5
9475,vw, Scirocco,2015,Manual,90000,Diesel,30,53.3,2
13995,ford, Grand Tourneo Connect,2016,Manual,30000,Diesel,125,61.4,1.5
25390,vw, Arteon,2019,Manual,100,Diesel,150,52.3,2
17000,toyota, GT86,2017,Manual,14345,Petrol,150,36.2,2
23994,toyota, Hilux,2018,Automatic,16734,Diesel,265,36.2,2.4
38343,merc, GLS Class,2017,Automatic,26452,Diesel,305,37.2,3
21150,audi, A7,2017,Semi-Auto,34132,Diesel,30,62.8,3
8485,skoda, Rapid,2017,Manual,32657,Diesel,0,74.3,1.6
28995,vw, Arteon,2019,Automatic,7865,Diesel,145,50.4,2
26999,vw, Tiguan Allspace,2019,Semi-Auto,5000,Diesel,150,44.1,2
20480,vw, Shuttle,2019,Manual,3615,Diesel,145,38.2,2
22000,toyota, Prius,2018,Automatic,20252,Hybrid,135,85.6,1.8
8299,ford, KA,2018,Manual,5007,Petrol,145,57.7,1.2
6985,skoda, Rapid,2016,Manual,49093,Diesel,0,74.3,1.6
17390,hyundi, Santa Fe,2016,Manual,10200,Diesel,200,46.3,2.2
14800,toyota, Verso,2017,Automatic,33989,Other,165,43.5,1.8
16490,skoda, Scala,2020,Manual,5234,Petrol,145,49.6,1
4650,audi, A8,1997,Automatic,122000,Petrol,265,18.9,4.2
8189,hyundi, IX20,2016,Manual,28500,Petrol,125,50.4,1.4
10499,ford, Grand Tourneo Connect,2015,Manual,54429,Diesel,125,58.9,1.6
20842,hyundi, Santa Fe,2018,Manual,21588,Diesel,145,47.1,2.2
109995,merc, S Class,2019,Semi-Auto,4688,Petrol,150,31.7,4
39480,merc, GLB Class,2020,Semi-Auto,29,Diesel,145,46.3,2
15990,merc, M Class,2013,Automatic,51800,Diesel,200,44.8,2.1
52700,bmw, 7 Series,2019,Semi-Auto,706,Diesel,145,44.1,3
56000,audi, Q8,2019,Automatic,945,Diesel,145,33.6,3
15999,merc, GL Class,2015,Automatic,42073,Diesel,125,55.4,2.1
28675,merc, X-CLASS,2019,Automatic,39,Diesel,260,35.8,2.3
67989,bmw, X7,2019,Semi-Auto,17561,Petrol,145,24.8,3
44950,audi, RS6,2015,Automatic,24987,Petrol,315,29.4,4
6688,skoda, Yeti,2013,Manual,67235,Diesel,200,47.1,2
20750,ford, Edge,2017,Semi-Auto,20045,Diesel,160,48.7,2
39950,bmw, M4,2017,Automatic,5735,Petrol,145,32.5,3
18998,ford, Edge,2017,Semi-Auto,41726,Diesel,160,48.7,2
9240,vauxhall, GTC,2016,Automatic,44310,Petrol,200,42.8,1.4
19999,ford, Edge,2017,Manual,22922,Diesel,160,48.7,2
15990,vauxhall, Combo Life,2019,Manual,17957,Diesel,145,53.3,1.5
25460,merc, S Class,2015,Automatic,46757,Diesel,205,47.9,3
48995,audi, Q8,2019,Semi-Auto,4488,Diesel,145,33.6,3
13490,toyota, Verso,2016,Semi-Auto,13992,Petrol,165,43.5,1.8
3990,merc, SLK,2001,Automatic,48172,Petrol,325,30,2.3
9500,ford, KA,2018,Manual,10691,Petrol,150,47.9,1.2
18999,ford, Galaxy,2017,Manual,32750,Diesel,125,56.5,2
34000,vw, Arteon,2019,Automatic,1000,Diesel,145,37.7,2
10400,vw, Beetle,2013,Manual,38333,Petrol,235,37.2,2
17995,toyota, Prius,2013,Automatic,58852,Other,10,64.2,1.8
32000,vw, Amarok,2018,Automatic,5673,Diesel,260,33.6,3
7990,skoda, Rapid,2015,Manual,28301,Petrol,20,57.7,1.2
36999,hyundi, Santa Fe,2020,Semi-Auto,6000,Diesel,150,39.2,2.2
24998,merc, S Class,2015,Semi-Auto,29036,Diesel,160,50.4,3
17000,vw, Scirocco,2017,Automatic,34203,Diesel,145,62.8,2
9499,toyota, Avensis,2016,Manual,29535,Diesel,20,67.3,1.6
23995,bmw, M5,2012,Automatic,51000,Petrol,555,28.5,4.4
14500,ford, Grand C-MAX,2017,Manual,4040,Petrol,145,54.3,1
9795,hyundi, IX20,2017,Manual,10279,Petrol,145,50.4,1.4
16299,vw, Scirocco,2017,Manual,24481,Diesel,150,55.4,2
34900,vw, Amarok,2019,Automatic,6898,Diesel,260,33.6,3
15940,vw, Scirocco,2016,Manual,17141,Diesel,20,55.4,2
28990,vw, Arteon,2019,Automatic,6000,Diesel,145,50.4,2
27900,vw, Amarok,2018,Automatic,13764,Diesel,260,36.2,3
17750,ford, Galaxy,2016,Automatic,35646,Diesel,160,51.4,2
5300,ford, KA,2013,Manual,17427,Petrol,30,57.7,1.2
13750,skoda, Yeti,2017,Manual,19956,Diesel,145,62.8,2
18000,ford, Galaxy,2016,Manual,27315,Diesel,125,56.5,2
20000,toyota, Prius,2017,Automatic,9891,Hybrid,0,85.6,1.8
10941,vw, Beetle,2016,Manual,21930,Petrol,125,51.4,1.2
54900,merc, CLA Class,2020,Automatic,3600,Petrol,145,33.2,2
26922,ford, Tourneo Custom,2019,Manual,1410,Diesel,145,30.1,2
18150,toyota, Prius,2018,Automatic,59191,Other,135,235,1.8
17990,ford, Galaxy,2016,Manual,23300,Diesel,125,56.5,2
19995,vw, Caravelle,2011,Automatic,86000,Diesel,325,34.4,2
44990,merc, GLS Class,2019,Automatic,11607,Diesel,145,37.2,3
13998,ford, Grand Tourneo Connect,2017,Manual,4856,Diesel,145,61.4,1.5
20950,toyota, Prius,2018,Automatic,10549,Hybrid,135,94.1,1.8
19498,hyundi, Santa Fe,2017,Semi-Auto,12957,Diesel,240,42.8,2.2
19495,bmw, i3,2017,Automatic,17338,Hybrid,135,470.8,0
41999,bmw, X4,2019,Semi-Auto,6449,Diesel,145,37.2,3
29998,merc, V Class,2017,Semi-Auto,41298,Diesel,205,45.6,2.2
42460,bmw, X4,2019,Automatic,2188,Petrol,145,26.9,3
22990,toyota, Prius,2019,Automatic,3982,Hybrid,135,61.4,1.8
17650,toyota, Prius,2016,Automatic,48297,Hybrid,0,85.6,1.8
8790,vauxhall, GTC,2015,Manual,32160,Petrol,160,44.8,1.6
31888,audi, RS3,2017,Automatic,38000,Petrol,150,34,2.5
26995,vw, Tiguan Allspace,2019,Automatic,7971,Diesel,145,39.2,2
24990,merc, V Class,2019,Manual,5000,Diesel,145,46.3,2.1
84496,audi, Q8,2020,Automatic,3522,Diesel,145,30.7,4
13981,vw, Beetle,2017,Manual,30456,Diesel,150,67.3,2
23400,bmw, 6 Series,2017,Automatic,23954,Petrol,260,36.7,3
19490,ford, Tourneo Custom,2017,Manual,23838,Diesel,150,44.8,2
14500,ford, Galaxy,2016,Manual,87180,Diesel,125,56.5,2
23000,bmw, X4,2017,Semi-Auto,18441,Diesel,145,54.3,2
16991,skoda, Kamiq,2019,Manual,458,Petrol,150,49.6,1
33791,hyundi, Santa Fe,2019,Semi-Auto,5883,Diesel,145,39.2,2.2
37980,bmw, X4,2019,Semi-Auto,1852,Diesel,145,40.4,3
25995,vw, Amarok,2017,Automatic,25624,Diesel,260,36.2,3
22795,ford, Edge,2018,Semi-Auto,12815,Diesel,150,48.7,2
12295,vauxhall, Zafira Tourer,2017,Manual,21000,Diesel,145,62.8,1.6
22000,vw, Caddy Life,2020,Manual,1700,Diesel,150,51.4,2
42490,audi, RS3,2020,Automatic,10,Petrol,145,30.1,2.5
35480,bmw, X4,2019,Semi-Auto,7414,Diesel,145,42.8,2
4391,ford, KA,2013,Manual,22995,Petrol,30,57.7,1.2
11998,ford, Grand C-MAX,2016,Manual,34883,Diesel,30,61.4,2
16495,vw, Scirocco,2018,Manual,30532,Diesel,145,53.3,2
37991,ford, Mustang,2019,Automatic,1055,Petrol,145,22.1,5
53995,bmw, 7 Series,2020,Semi-Auto,3500,Diesel,145,42.2,3
6995,toyota, Prius,2010,Automatic,67000,Hybrid,0,70.6,1.8
31720,audi, A7,2019,Automatic,15302,Diesel,145,47.1,2
14999,ford, Galaxy,2016,Manual,33883,Diesel,125,56.5,2
17995,toyota, Prius,2018,Automatic,44512,Hybrid,135,94.1,1.8
14382,vw, Scirocco,2016,Manual,32526,Petrol,125,52.3,1.4
34950,vw, Shuttle,2019,Semi-Auto,10000,Diesel,150,32.8,2
10712,vw, CC,2016,Automatic,54355,Diesel,125,58.9,2
27450,bmw, Z4,2019,Semi-Auto,7363,Petrol,145,38.2,2
14972,merc, CLS Class,2013,Semi-Auto,64777,Diesel,205,47.1,3
42900,merc, CLS Class,2019,Semi-Auto,7301,Diesel,145,47.9,2.9
4500,ford, KA,2013,Manual,33761,Petrol,30,57.7,1.2
36950,audi, SQ5,2017,Automatic,27000,Petrol,150,34,3
12995,hyundi, IX20,2018,Manual,3250,Petrol,145,37.2,1.6
15490,skoda, Scala,2019,Manual,3501,Petrol,145,49.6,1
56400,audi, RS5,2019,Semi-Auto,2469,Petrol,150,29.7,2.9
34000,bmw, X4,2019,Semi-Auto,8515,Diesel,145,42.8,2
33999,bmw, 6 Series,2020,Semi-Auto,11,Petrol,145,42.8,2
5495,skoda, Rapid,2013,Manual,29750,Petrol,125,52.3,1.2
13522,toyota, Prius,2013,Automatic,52217,Hybrid,0,134.5,1.8
22511,ford, Edge,2017,Semi-Auto,25725,Diesel,145,47.9,2
15495,skoda, Yeti,2017,Manual,13591,Petrol,145,51.4,1.2
20000,ford, Edge,2017,Automatic,19039,Diesel,160,48.7,2
4995,merc, SLK,2006,Automatic,75000,Petrol,555,28,3.5
9000,skoda, Yeti,2014,Manual,43429,Diesel,30,61.4,1.6
64999,merc, GLS Class,2018,Semi-Auto,41102,Petrol,145,23,5.5
35995,hyundi, Santa Fe,2020,Semi-Auto,1801,Diesel,145,39.8,2.2
5666,ford, KA,2016,Manual,30225,Petrol,30,57.7,1.2
16250,skoda, Scala,2019,Semi-Auto,5000,Petrol,145,47.1,1
13000,toyota, GT86,2014,Manual,39761,Petrol,265,36.2,2
10480,skoda, Yeti,2015,Manual,32800,Diesel,165,49.6,2
31999,bmw, 6 Series,2019,Semi-Auto,7994,Petrol,145,42.8,2
27990,vw, Amarok,2019,Automatic,16898,Diesel,260,33.6,3
22500,skoda, Kamiq,2019,Semi-Auto,1500,Petrol,145,43.5,1.5
10995,ford, Grand Tourneo Connect,2015,Manual,30760,Diesel,115,58.9,1.6
31000,merc, X-CLASS,2017,Automatic,11447,Diesel,260,35.8,2.3
18490,skoda, Kamiq,2020,Manual,1500,Petrol,145,49.6,1
12490,ford, Grand C-MAX,2017,Manual,8121,Petrol,145,54.3,1
15990,hyundi, I800,2018,Automatic,34605,Diesel,145,28,2.5
32995,hyundi, Santa Fe,2019,Semi-Auto,30,Diesel,145,40.9,2.2
8990,skoda, Rapid,2017,Manual,23002,Petrol,145,57.7,1.2
71995,merc, G Class,2017,Automatic,38247,Petrol,145,20.5,5.5
9490,hyundi, IX20,2017,Manual,21354,Petrol,145,50.4,1.4
17995,skoda, Scala,2019,Automatic,3500,Petrol,145,45.6,1.5
18000,ford, Galaxy,2017,Semi-Auto,40838,Diesel,145,52.3,2
33000,ford, Edge,2019,Automatic,4694,Diesel,145,37.2,2
18500,hyundi, I800,2019,Manual,7691,Diesel,150,31.7,0
44500,vw, Caravelle,2019,Automatic,11163,Diesel,145,33.6,2
7995,skoda, Rapid,2018,Manual,12231,Petrol,145,62.8,1
12998,toyota, GT86,2014,Manual,25499,Petrol,260,36.2,2
4990,ford, KA,2009,Manual,6000,Petrol,30,55.4,1.2
43495,vw, Caravelle,2020,Semi-Auto,2000,Diesel,150,33.6,2
36980,merc, GLB Class,2020,Semi-Auto,19,Diesel,145,46.3,2
9475,hyundi, IX35,2014,Manual,53544,Diesel,165,51.4,2
49499,toyota, Supra,2019,Automatic,10,Petrol,145,34.5,3
11000,skoda, Yeti,2014,Manual,13593,Petrol,165,46.3,1.2
45990,bmw, X4,2020,Semi-Auto,7724,Diesel,145,37.2,3
20500,merc, GL Class,2017,Automatic,56316,Diesel,125,56.5,2.1
30580,merc, S Class,2017,Semi-Auto,26699,Diesel,145,50.4,3
16725,vw, Scirocco,2018,Manual,27885,Petrol,145,47.1,2
6998,skoda, Rapid,2015,Manual,18926,Diesel,30,64.2,1.6
21591,merc, CLS Class,2016,Automatic,17730,Diesel,165,51.4,3
5945,hyundi, IX20,2014,Manual,42000,Petrol,125,50.4,1.4
7050,hyundi, I40,2015,Manual,68969,Diesel,20,67.3,1.7
10698,vw, Scirocco,2014,Manual,30000,Petrol,125,52.3,1.4
9660,ford, Grand C-MAX,2016,Manual,30691,Petrol,30,54.3,1
4998,ford, KA,2015,Manual,15296,Petrol,30,57.7,1.2
12370,skoda, Yeti,2016,Semi-Auto,5002,Petrol,125,51.4,1.2
13500,toyota, Avensis,2018,Manual,34505,Diesel,145,67.3,1.6
48995,vw, Caravelle,2019,Semi-Auto,6000,Diesel,145,29.4,2
20995,toyota, GT86,2017,Manual,6445,Petrol,145,36.2,2
61797,bmw, M5,2019,Semi-Auto,4419,Petrol,145,26.9,4.4
31723,merc, GL Class,2015,Automatic,31112,Diesel,330,36.2,3
13300,vw, CC,2016,Manual,18141,Diesel,30,62.8,2
9625,skoda, Rapid,2017,Manual,18325,Petrol,145,61.4,1
10495,skoda, Rapid,2018,Manual,15006,Petrol,145,57.7,1
63806,bmw, 8 Series,2019,Automatic,1616,Diesel,145,39.8,3
6190,ford, KA,2016,Manual,13728,Petrol,30,57.7,1.2
14750,vw, Scirocco,2016,Manual,30989,Petrol,145,46.3,2
14750,merc, CLA Class,2016,Manual,60872,Diesel,20,67.3,2.1
20999,ford, Puma,2020,Manual,2000,Petrol,150,51.4,1
7298,hyundi, IX35,2014,Manual,71289,Diesel,145,53.3,1.7
22000,audi, A8,2016,Automatic,37235,Diesel,205,48.7,3
12298,vauxhall, GTC,2017,Automatic,8596,Petrol,205,42.8,1.4
14795,hyundi, I800,2018,Manual,37530,Diesel,145,37.7,2.5
18498,toyota, GT86,2018,Manual,35228,Petrol,145,36.2,2
34495,hyundi, Santa Fe,2019,Semi-Auto,4890,Diesel,145,39.2,2.2
1985,toyota, Avensis,2009,Manual,148371,Diesel,150,55.4,2
11180,ford, Grand C-MAX,2017,Manual,30519,Petrol,30,54.3,1
15995,vauxhall, GTC,2016,Manual,11991,Petrol,260,36.2,2
3195,ford, KA,2010,Manual,80000,Petrol,30,55.4,1.2
13295,toyota, Avensis,2017,Automatic,31774,Petrol,145,46.3,1.8
35995,audi, A8,2018,Semi-Auto,12195,Diesel,145,50.4,3
