Material,Xm,Xp,WLMTO_d,Wcal_d,d_c,COBE
Ni3Ti@Ni,4.14,1.81,32.37,1.3,-1.2,-1.52
Ni3V@Ni,4.2,1.84,32.72,1.37,-1.52,-1.4
Ni3W@Ni,4.4,2.01,32.08,1.43,-1.6,-1.34
Ni3Y@Ni,4.09,1.71,31.85,1.1,-0.79,-1.49
Ni3Zr@Ni,4.16,1.74,31.77,1.23,-1.04,-1.54
Pd3Ag@Pd,4.45,2.13,47.73,1.29,-1.53,-1.24
Pd3Au@Pd,4.75,2.28,47.5,1.35,-1.54,-1.34
Pd3Co@Pd,4.4,2.12,46.55,1.48,-1.95,-1.07
Pd3Cr@Pd,4.26,2.05,46.6,1.43,-1.87,-0.99
Pd3Cu@Pd,4.46,2.12,47.79,1.4,-1.72,-1.15
Pd3Ir@Pd,4.66,2.2,47.15,1.5,-1.93,-1.2
Pd3La@Pd,4.14,1.85,45.84,1.25,-1.48,-0.8
Pd3Mn@Pd,4.26,2.02,49.19,1.41,-1.75,-1
Pd3Mo@Pd,4.31,2.19,46.1,1.56,-2.36,-0.94
Pd3Nb@Pd,4.29,2.03,46.07,1.58,-2.59,-0.8
Pd3Ni@Pd,4.44,2.12,47.65,1.43,-1.82,-1.17
Pd3Os@Pd,4.56,2.2,45.74,1.59,-2.2,-1.08
Pd3Pd@Pd,4.45,2.2,47.48,1.36,-1.67,-1.28
Pd3Pt@Pd,4.71,2.22,47.3,1.42,-1.72,-1.31
Pd3Re@Pd,4.34,2.12,45.55,1.65,-2.45,-0.93
Pd3Rh@Pd,4.41,2.22,47.31,1.41,-1.82,-1.24
Pd3Sc@Pd,4.15,1.95,46.19,1.39,-1.72,-0.82
Pd3Ta@Pd,4.36,2,45.91,1.67,-2.76,-0.76
Pd3Ti@Pd,4.18,2.01,46.18,1.51,-2.27,-0.94
Pd3V@Pd,4.23,2.04,46.55,1.51,-2.19,-0.95
Pd3W@Pd,4.44,2.24,45.91,1.68,-2.67,-0.83
Pd3Y@Pd,4.12,1.9,45.7,1.31,-1.51,-0.82
Pd3Zr@Pd,4.2,1.94,45.59,1.51,-2.17,-0.89
Pt3Ag@Pt,5.26,2.19,62.37,1.74,-1.79,-1.58
Pt3Au@Pt,5.62,2.34,62.11,1.77,-1.8,-1.72
Pt3Co@Pt,5.21,2.17,60.9,1.95,-2.25,-1.44
Pt3Cr@Pt,5.04,2.11,61,1.92,-2.23,-1.39
Pt3Cu@Pt,5.28,2.18,62.41,1.88,-2.03,-1.44
Pt3Ir@Pt,5.51,2.26,61.7,1.95,-2.18,-1.62
Pt3La@Pt,4.9,1.9,60.21,1.54,-1.56,-1.25
Pt3Mo@Pt,5.1,2.25,60.46,2,-2.55,-1.32
Pt3Nb@Pt,5.07,2.09,60.44,2.01,-2.59,-1.2
Pt3Ni@Pt,5.25,2.18,62.24,1.91,-2.16,-1.51
Pt3Os@Pt,5.39,2.26,60.02,2.03,-2.4,-1.51
Pt3Pd@Pt,5.27,2.26,62.08,1.81,-1.97,-1.65
Pt3Pt@Pt,5.57,2.28,61.88,1.87,-2.03,-1.7
Pt3Re@Pt,5.13,2.18,59.8,2.1,-2.58,-1.38
Pt3Rh@Pt,5.22,2.28,61.88,1.87,-2.12,-1.61
Pt3Ru@Pt,5.19,2.26,60.23,1.91,-2.22,-1.57
Pt3Sc@Pt,4.92,2,60.58,1.83,-2,-1.23
Pt3Ta@Pt,5.16,2.05,60.26,2.11,-2.73,-1.15
Pt3Ti@Pt,4.94,2.07,60.54,1.96,-2.45,-1.31
Pt3V@Pt,5.01,2.1,60.95,1.98,-2.47,-1.37
Pt3W@Pt,5.26,2.3,60.25,2.13,-2.72,-1.18
Pt3Y@Pt,4.88,1.95,60.05,1.68,-1.71,-1.24
Pt3Zr@Pt,4.97,1.99,59.89,1.89,-2.19,-1.33
Ag-Ag@Ag,4.44,1.93,31.37,1.1,-3.92,-0.09
Ag-Au@Ag,5.06,2.21,31.01,1.17,-3.86,-0.12
Ag-Cu@Ag,4.46,1.91,31.56,1.18,-4.01,-0.06
Ag-La@Ag,3.85,1.46,28.21,1.06,-4.15,-0.12
Ag-Nb@Ag,4.12,1.76,28.31,1.26,-4.33,-0.24
Ag-Ni@Ag,4.42,1.92,31.33,1.2,-3.73,-0.14
Ag-Pd@Ag,4.44,2.06,30.99,1.13,-3.5,-0.15
Ag-Pt@Ag,4.97,2.1,30.7,1.23,-3.55,-0.23
Ag-Sc@Ag,3.87,1.62,28.55,1.17,-4.49,-0.06
Ag-Ta@Ag,4.27,1.7,28.01,1.35,-4.41,-0.27
Ag-Ti@Ag,3.92,1.72,28.36,1.16,-4.41,-0.15
Ag-Y@Ag,3.81,1.53,27.89,1.14,-4.36,-0.11
Ag-Zr@Ag,3.96,1.6,27.31,1.21,-4.42,-0.13
Au-Ag@Au,5.06,2.21,46.84,1.32,-3.19,-0.18
Au-Au@Au,5.77,2.54,46.4,1.41,-3.18,-0.26
Au-Cu@Au,5.09,2.2,47.07,1.45,-3.4,-0.11
Au-La@Au,4.38,1.67,43,1.36,-3.71,-0.11
Au-Pd@Au,5.07,2.36,46.38,1.39,-2.89,-0.39
Au-Pt@Au,5.67,2.41,46.03,1.49,-3.01,-0.51
Au-Ru@Au,4.93,2.36,42.34,1.49,-3.35,-0.47
Au-Y@Au,4.34,1.76,42.61,1.47,-4.01,-0.1
Cu-Ag@Cu,4.46,1.91,24.84,0.98,-2.13,-0.64
Cu-Au@Cu,5.09,2.2,24.52,1.04,-2.08,-0.67
Cu-Co@Cu,4.38,1.89,22.67,1.08,-2.34,-0.76
Cu-Cr@Cu,4.09,1.78,22.82,1.1,-2.59,-1.17
Cu-Cu@Cu,4.49,1.9,24.98,1.06,-2.26,-0.63
Cu-Ir@Cu,4.9,2.04,24,1.16,-2.31,-0.78
Cu-La@Cu,3.87,1.45,21.99,0.93,-2.41,-0.69
Cu-Mo@Cu,4.2,2.03,21.94,1.11,-2.52,-1.18
Cu-Nb@Cu,4.15,1.74,21.99,1.08,-2.71,-1.05
Cu-Ni@Cu,4.44,1.9,24.77,1.07,-2.14,-0.72
Cu-Os@Cu,4.69,2.04,20.85,1.19,-2.52,-0.9
Cu-Pd@Cu,4.47,2.04,24.49,1.03,-1.99,-0.75
Cu-Pt@Cu,5,2.08,24.24,1.12,-2.09,-0.79
Cu-Re@Cu,4.25,1.9,20.43,1.21,-2.64,-1.12
Cu-Rh@Cu,4.39,2.08,24.23,1.07,-2.14,-0.81
Cu-Ru@Cu,4.35,2.04,21.26,1.08,-2.31,-0.87
Cu-Sc@Cu,3.9,1.61,22.22,0.99,-2.72,-0.63
Cu-Ta@Cu,4.3,1.69,21.72,1.14,-2.83,-1.01
Cu-Ti@Cu,3.94,1.71,21.97,1.02,-2.83,-0.69
Cu-V@Cu,4.04,1.76,22.75,1.07,-2.74,-0.81
Cu-W@Cu,4.45,2.12,21.58,1.19,-2.63,-1.18
Cu-Y@Cu,3.83,1.52,21.69,0.96,-2.56,-0.73
Cu-Zr@Cu,3.98,1.59,21.06,1.02,-2.74,-0.84
Ni-Ag@Ni,4.42,1.92,33.81,1.18,-1.08,-1.61
Ni-Au@Ni,5.04,2.2,33.45,1.24,-1.08,-1.71
Ni-Co@Ni,4.33,1.89,31.24,1.37,-1.44,-1.45
Ni-Cr@Ni,4.05,1.78,31.44,1.38,-1.53,-1.39
Ni-Cu@Ni,4.44,1.9,33.97,1.26,-1.11,-1.54
Ni-Ir@Ni,4.85,2.05,32.84,1.45,-1.36,-1.8
Ni-Mo@Ni,4.15,2.03,30.41,1.4,-1.35,-1.65
Ni-Nb@Ni,4.11,1.75,30.49,1.37,-1.27,-1.47
Ni-Ni@Ni,4.4,1.91,33.73,1.33,-1.32,-1.52
Ni-Os@Ni,4.64,2.05,29.12,1.53,-1.5,-1.87
Ni-Pd@Ni,4.42,2.05,33.41,1.27,-1.22,-1.68
Ni-Pt@Ni,4.95,2.09,33.12,1.36,-1.28,-1.74
Ni-Re@Ni,4.21,1.9,28.63,1.54,-1.5,-1.75
Ni-Rh@Ni,4.35,2.09,33.1,1.34,-1.3,-1.73
Ni-Ru@Ni,4.3,2.05,29.6,1.36,-1.35,-1.87
Ni-Sc@Ni,3.86,1.61,30.75,1.28,-1.22,-1.27
Ni-Ta@Ni,4.25,1.69,30.17,1.43,-1.35,-1.44
Ni-Ti@Ni,3.9,1.72,30.44,1.33,-1.36,-1.3
Ni-V@Ni,4,1.76,31.36,1.36,-1.43,-1.36
Ni-W@Ni,4.41,2.12,30,1.5,-1.43,-1.62
Ni-Y@Ni,3.79,1.53,30.15,1.2,-1.1,-1.23
Ni-Zr@Ni,3.94,1.59,29.4,1.27,-1.19,-1.33
Pd-Ag@Pd,4.44,2.06,47.95,1.28,-1.4,-1.16
Pd-Au@Pd,5.07,2.36,47.51,1.39,-1.51,-1.31
Pd-Co@Pd,4.36,2.03,45.16,1.47,-2.06,-0.9
Pd-Cu@Pd,4.47,2.04,48.17,1.38,-1.64,-1.12
Pd-Ir@Pd,4.87,2.2,46.81,1.63,-2.23,-1.23
Pd-La@Pd,3.85,1.56,44.04,1.32,-1.96,-0.5
Pd-Mn@Pd,4.07,1.85,49.67,1.49,-2.03,-0.68
Pd-Mo@Pd,4.18,2.18,44.06,1.61,-2.46,-0.79
Pd-Nb@Pd,4.13,1.88,44.11,1.62,-2.47,-0.72
Pd-Ni@Pd,4.42,2.05,47.89,1.43,-1.9,-1.05
Pd-Os@Pd,4.67,2.2,42.68,1.71,-2.5,-1.05
Pd-Pd@Pd,4.45,2.2,47.48,1.36,-1.67,-1.28
Pd-Pt@Pd,4.98,2.24,47.13,1.49,-1.82,-1.33
Pd-Rh@Pd,4.37,2.24,47.12,1.47,-1.99,-1.18
Pd-Ru@Pd,4.33,2.2,43.24,1.51,-2.16,-1.09
Pd-Sc@Pd,3.88,1.73,44.42,1.5,-2.39,-0.48
Pd-Ta@Pd,4.28,1.82,43.74,1.71,-2.59,-0.74
Pd-Ti@Pd,3.92,1.84,44.14,1.51,-2.56,-0.53
Pd-V@Pd,4.02,1.89,45.18,1.54,-2.53,-0.61
Pd-W@Pd,4.43,2.28,43.58,1.75,-2.67,-0.8
Pd-Y@Pd,3.81,1.64,43.64,1.41,-2.17,-0.55
Pd-Zr@Pd,3.96,1.71,42.86,1.55,-2.32,-0.62
Pt-Ag@Pt,4.97,2.1,62.82,1.62,-1.56,-1.52
Pt-Au@Pt,5.67,2.41,62.32,1.74,-1.63,-1.67
Pt-Co@Pt,4.88,2.07,59.65,1.81,-2.12,-1.18
Pt-Cu@Pt,5,2.08,63.07,1.74,-1.76,-1.44
Pt-Ir@Pt,5.45,2.24,61.51,2.01,-2.41,-1.52
Pt-La@Pt,4.31,1.58,58.36,1.69,-2.05,-0.72
Pt-Mo@Pt,4.67,2.22,58.39,2.01,-2.59,-1.09
Pt-Nb@Pt,4.62,1.91,58.45,2.02,-2.6,-1.06
Pt-Ni@Pt,4.95,2.09,62.75,1.8,-2.05,-1.36
Pt-Os@Pt,5.22,2.24,56.83,2.1,-2.65,-1.4
Pt-Pd@Pt,4.98,2.24,62.28,1.71,-1.86,-1.64
Pt-Pt@Pt,5.57,2.28,61.88,1.87,-2.03,-1.7
Pt-Re@Pt,4.73,2.08,56.19,2.14,-2.73,-1.2
Pt-Rh@Pt,4.89,2.28,61.87,1.84,-2.19,-1.49
Pt-Ru@Pt,4.84,2.24,57.47,1.88,-2.32,-1.43
Pt-Sc@Pt,4.34,1.76,58.8,1.9,-2.46,-0.68
Pt-Ta@Pt,4.78,1.85,58.02,2.15,-2.74,-1.04
Pt-Ti@Pt,4.39,1.87,58.49,1.9,-2.7,-0.77
Pt-V@Pt,4.5,1.93,59.67,1.93,-2.65,-0.88
Pt-W@Pt,4.96,2.32,57.85,2.16,-2.76,-1.08
Pt-Y@Pt,4.27,1.67,57.9,1.8,-2.33,-0.79
Pt-Zr@Pt,4.43,1.74,57.02,1.95,-2.51,-0.89
Ag@Ag,4.44,1.93,31.37,1.1,-3.92,-0.09
Ag@Au,5.06,2.21,46.84,1.34,-3.21,-0.15
Ag@Cu,4.46,1.91,24.84,0.88,-1.9,-0.74
Ag@Ni,4.42,1.92,33.81,1.05,-0.77,-1.73
Ag@Pd,4.44,2.06,47.95,1.23,-1.31,-1.12
Ag@Pt,4.97,2.1,62.82,1.52,-1.38,-1.59
Au@Ag,5.06,2.21,31.01,1.16,-3.87,-0.15
Au@Au,5.77,2.54,46.4,1.41,-3.18,-0.26
Au@Cu,5.09,2.2,24.52,1.02,-1.98,-0.86
Au@Ni,5.04,2.2,33.45,1.19,-0.87,-1.8
Au@Pd,5.07,2.36,47.51,1.35,-1.35,-1.29
Au@Pt,5.67,2.41,62.32,1.64,-1.46,-1.84
Cu@Au,5.09,2.2,47.07,1.9,-3.88,-0.66
Cu@Cu,4.49,1.9,24.98,1.05,-2.25,-0.63
Cu@Ni,4.44,1.9,33.97,1.22,-1.01,-1.6
Cu@Pd,4.47,2.04,48.17,1.62,-2.05,-0.84
Cu@Pt,5,2.08,63.07,2.05,-2.33,-1.11
Ir@Ag,4.87,2.06,30.45,1.36,-3.81,-0.25
Ir@Au,5.55,2.36,45.72,1.72,-3.41,-0.37
Ir@Cu,4.9,2.04,24,1.13,-2.1,-0.91
Ir@Ni,4.85,2.05,32.84,1.36,-1.21,-1.59
Ir@Pd,4.87,2.2,46.81,1.6,-2.15,-1.18
Ir@Pt,5.45,2.24,61.51,2.04,-2.37,-1.49
Ni@Cu,4.44,1.9,24.77,1.11,-2.21,-0.69
Ni@Ni,4.4,1.91,33.73,1.33,-1.32,-1.52
Pd@Ag,4.44,2.06,30.99,1.22,-3.64,-0.14
Pd@Au,5.07,2.36,46.38,1.52,-3.07,-0.27
Pd@Cu,4.47,2.04,24.49,0.97,-1.66,-0.86
Pd@Ni,4.42,2.05,33.41,1.22,-1.13,-1.64
Pd@Pd,4.45,2.2,47.48,1.36,-1.67,-1.28
Pd@Pt,4.98,2.24,62.28,1.74,-1.9,-1.66
Pt@Ag,4.97,2.1,30.7,1.28,-3.69,-0.24
Pt@Au,5.67,2.41,46.03,1.59,-3.17,-0.4
Pt@Cu,5,2.08,24.24,1.09,-1.85,-0.91
Pt@Ni,4.95,2.09,33.12,1.34,-1.24,-1.63
Pt@Pd,4.98,2.24,47.13,1.48,-1.82,-1.31
Pt@Pt,5.57,2.28,61.88,1.87,-2.03,-1.7
